Incident_ID,Category,Priority,Department,Location,Ticket_Date,Resolved_Date,Resolution_Time_Hours,Status,Resolution_Type,Platform,SLA_Target_Hours,SLA_Breached_Flag
INC100050,Server Crash,High,Security Team,Remote Site 2,3/12/24 21:00,3/14/24 17:00,44,Resolved,Patch Applied,SharePoint,24,No
INC100051,Security Breach,Critical,Security Team,Data Center A,2/1/24 12:00,2/3/24 19:00,55,Resolved,Configuration Fix,SharePoint,16,Yes
INC100052,Network Outage,Low,Security Team,Data Center B,8/5/24 11:00,8/6/24 21:00,34,Resolved,Patch Applied,Teams,12,Yes
INC100053,Application Bug,Critical,Database Admin,Data Center A,2/8/24 4:00,2/8/24 14:00,10,Resolved,Patch Applied,Teams,48,Yes
INC100054,Database Failure,Low,Security Team,Remote Site 2,7/7/24 14:00,7/8/24 9:00,19,Resolved,Hardware Replacement,Teams,12,No
INC100055,Server Crash,Low,Security Team,Head Office,11/2/24 20:00,11/3/24 2:00,6,Resolved,Configuration Fix,Teams,48,Yes
INC100056,Server Crash,Medium,IT Support,Head Office,9/23/24 6:00,9/26/24 6:00,72,Closed,Hardware Replacement,Teams,48,No
INC100057,Database Failure,Medium,Network Team,Data Center B,11/29/24 5:00,11/30/24 4:00,23,Resolved,Hardware Replacement,Teams,24,Yes
INC100058,Network Outage,Medium,Security Team,Remote Site 1,9/30/24 19:00,10/2/24 3:00,32,Resolved,Configuration Fix,Teams,24,No
INC100059,Server Crash,Low,DevOps,Data Center A,10/20/24 1:00,10/22/24 14:00,61,Closed,Patch Applied,Teams,24,Yes
INC100060,Server Crash,Critical,Security Team,Head Office,10/7/24 1:00,10/8/24 7:00,30,Resolved,Patch Applied,SharePoint,48,Yes
INC100061,Network Outage,Medium,DevOps,Head Office,4/5/24 2:00,4/5/24 11:00,9,Resolved,Configuration Fix,SharePoint,12,No
INC100062,Security Breach,Critical,Database Admin,Head Office,11/16/24 14:00,11/16/24 18:00,4,Resolved,Reboot,SharePoint,24,No
INC100063,Security Breach,Medium,Database Admin,Head Office,1/14/24 1:00,1/14/24 15:00,14,Resolved,Security Mitigation,Teams,12,No
INC100064,Application Bug,High,Security Team,Remote Site 1,7/25/24 22:00,7/28/24 16:00,66,Closed,Reboot,Teams,24,Yes
INC100065,Application Bug,Medium,Security Team,Data Center A,8/29/24 22:00,9/1/24 6:00,56,Resolved,Reboot,SharePoint,16,Yes
INC100066,Database Failure,Medium,Security Team,Remote Site 1,1/24/24 21:00,1/26/24 16:00,43,Resolved,Security Mitigation,SharePoint,24,Yes
INC100067,Security Breach,Low,Security Team,Remote Site 2,4/15/24 13:00,4/17/24 18:00,53,Resolved,Configuration Fix,SharePoint,24,Yes
INC100068,Application Bug,High,Database Admin,Data Center B,3/6/24 11:00,3/8/24 17:00,54,Resolved,Hardware Replacement,SharePoint,48,Yes
INC100069,Server Crash,High,DevOps,Remote Site 2,10/11/24 13:00,10/11/24 14:00,1,Resolved,Configuration Fix,Teams,16,Yes
INC100070,Security Breach,Medium,DevOps,Remote Site 2,7/26/24 1:00,7/27/24 19:00,42,Resolved,Hardware Replacement,SharePoint,16,No
INC100071,Application Bug,Critical,Network Team,Remote Site 2,6/10/24 12:00,6/11/24 10:00,22,Resolved,Reboot,SharePoint,24,Yes
INC100072,Security Breach,High,IT Support,Data Center B,8/17/24 15:00,8/19/24 7:00,40,Resolved,Patch Applied,SharePoint,12,No
INC100073,Server Crash,Medium,IT Support,Data Center A,3/24/24 13:00,3/27/24 2:00,61,Closed,Security Mitigation,SharePoint,16,Yes
INC100074,Network Outage,Critical,DevOps,Remote Site 2,3/7/24 8:00,3/9/24 10:00,50,Resolved,Hardware Replacement,SharePoint,24,Yes
INC100075,Application Bug,Medium,Network Team,Data Center A,10/31/24 16:00,11/1/24 6:00,14,Resolved,Hardware Replacement,Teams,12,Yes
INC100076,Server Crash,Medium,Database Admin,Remote Site 1,1/18/24 3:00,1/21/24 3:00,72,Closed,Patch Applied,SharePoint,24,Yes
INC100077,Network Outage,Critical,Network Team,Remote Site 1,8/15/24 20:00,8/18/24 16:00,68,Closed,Security Mitigation,SharePoint,24,Yes
INC100078,Database Failure,High,DevOps,Remote Site 2,10/5/24 4:00,10/7/24 21:00,65,Closed,Hardware Replacement,Teams,12,Yes
INC100079,Database Failure,Critical,Network Team,Remote Site 1,6/2/24 14:00,6/4/24 0:00,34,Resolved,Patch Applied,SharePoint,16,Yes
INC100080,Security Breach,Critical,Network Team,Head Office,5/30/24 3:00,5/30/24 13:00,10,Resolved,Configuration Fix,SharePoint,12,Yes
INC100081,Server Crash,High,Security Team,Head Office,10/31/24 19:00,11/3/24 17:00,70,Closed,Reboot,Teams,12,No
INC100082,Server Crash,Medium,Network Team,Remote Site 1,8/24/24 20:00,8/25/24 16:00,20,Resolved,Patch Applied,Teams,16,Yes
INC100083,Network Outage,Critical,DevOps,Head Office,7/4/24 5:00,7/6/24 17:00,60,Closed,Hardware Replacement,Teams,24,Yes
INC100084,Network Outage,Medium,DevOps,Remote Site 1,11/4/24 20:00,11/4/24 23:00,3,Resolved,Security Mitigation,SharePoint,12,Yes
INC100085,Application Bug,Critical,IT Support,Head Office,4/11/24 22:00,4/14/24 0:00,50,Resolved,Hardware Replacement,Teams,24,No
INC100086,Database Failure,Medium,DevOps,Data Center B,4/3/24 3:00,4/5/24 11:00,56,Resolved,Hardware Replacement,Teams,12,Yes
INC100087,Network Outage,Critical,Security Team,Remote Site 1,9/4/24 4:00,9/5/24 2:00,22,Resolved,Hardware Replacement,Teams,24,Yes
INC100088,Server Crash,Low,DevOps,Remote Site 2,7/11/24 15:00,7/11/24 19:00,4,Resolved,Reboot,Teams,12,No
INC100089,Application Bug,Medium,DevOps,Data Center B,1/18/24 3:00,1/19/24 13:00,34,Resolved,Hardware Replacement,SharePoint,48,No
INC100090,Security Breach,Medium,DevOps,Head Office,4/25/24 4:00,4/27/24 5:00,49,Resolved,Configuration Fix,SharePoint,24,No
INC100091,Application Bug,High,IT Support,Remote Site 1,1/7/24 14:00,1/10/24 12:00,70,Closed,Reboot,SharePoint,24,Yes
INC100092,Security Breach,Medium,IT Support,Data Center A,9/14/24 10:00,9/14/24 14:00,4,Resolved,Patch Applied,SharePoint,16,Yes
INC100093,Server Crash,Low,Database Admin,Data Center B,3/22/24 10:00,3/23/24 3:00,17,Resolved,Hardware Replacement,SharePoint,24,No
INC100094,Network Outage,Medium,DevOps,Head Office,9/18/24 18:00,9/20/24 18:00,48,Resolved,Patch Applied,Teams,48,No
INC100095,Database Failure,Low,Network Team,Head Office,2/6/24 21:00,2/7/24 1:00,4,Resolved,Configuration Fix,Teams,24,No
INC100096,Database Failure,Critical,DevOps,Data Center B,1/26/24 22:00,1/28/24 6:00,32,Resolved,Reboot,SharePoint,48,No
INC100097,Security Breach,Low,Database Admin,Data Center A,4/28/24 12:00,5/1/24 9:00,69,Closed,Hardware Replacement,SharePoint,12,No
INC100098,Security Breach,Low,Database Admin,Head Office,1/5/24 7:00,1/7/24 13:00,54,Resolved,Hardware Replacement,Teams,48,Yes
INC100099,Network Outage,Critical,Security Team,Remote Site 1,8/29/24 10:00,8/30/24 6:00,20,Resolved,Hardware Replacement,Teams,48,Yes
INC100100,Server Crash,High,Database Admin,Remote Site 2,9/21/24 9:00,9/23/24 23:00,62,Closed,Hardware Replacement,Teams,12,No
INC100101,Application Bug,High,Security Team,Data Center B,10/10/24 13:00,10/11/24 1:00,12,Resolved,Configuration Fix,SharePoint,16,Yes
INC100102,Application Bug,Medium,DevOps,Remote Site 2,7/27/24 7:00,7/29/24 8:00,49,Resolved,Configuration Fix,Teams,16,No
INC100103,Network Outage,Critical,Security Team,Data Center B,6/15/24 10:00,6/16/24 14:00,28,Resolved,Configuration Fix,SharePoint,24,Yes
INC100104,Security Breach,High,Security Team,Remote Site 2,8/27/24 8:00,8/28/24 20:00,36,Resolved,Security Mitigation,SharePoint,12,Yes
INC100105,Network Outage,Medium,IT Support,Data Center B,9/2/24 18:00,9/4/24 23:00,53,Resolved,Hardware Replacement,SharePoint,16,Yes
INC100106,Database Failure,Medium,DevOps,Remote Site 1,6/1/24 23:00,6/2/24 2:00,3,Resolved,Reboot,Teams,24,Yes
INC100107,Security Breach,Medium,DevOps,Data Center B,4/14/24 12:00,4/16/24 12:00,48,Resolved,Hardware Replacement,SharePoint,24,No
INC100108,Database Failure,High,DevOps,Remote Site 2,4/22/24 21:00,4/24/24 19:00,46,Resolved,Hardware Replacement,SharePoint,24,Yes
INC100109,Security Breach,High,Security Team,Data Center B,2/11/24 4:00,2/12/24 5:00,25,Resolved,Configuration Fix,Teams,16,Yes
INC100110,Network Outage,Medium,Network Team,Data Center B,9/9/24 2:00,9/11/24 16:00,62,Closed,Configuration Fix,SharePoint,16,Yes
INC100111,Database Failure,High,IT Support,Data Center B,4/11/24 2:00,4/12/24 8:00,30,Resolved,Configuration Fix,SharePoint,24,Yes
INC100112,Server Crash,High,IT Support,Remote Site 2,2/13/24 4:00,2/14/24 16:00,36,Resolved,Reboot,SharePoint,16,Yes
INC100113,Network Outage,High,Network Team,Remote Site 1,2/5/24 0:00,2/5/24 2:00,2,Resolved,Security Mitigation,Teams,16,Yes
INC100114,Security Breach,Critical,DevOps,Remote Site 1,4/26/24 7:00,4/27/24 7:00,24,Resolved,Reboot,SharePoint,16,No
INC100115,Security Breach,Critical,IT Support,Data Center A,5/16/24 18:00,5/19/24 9:00,63,Closed,Reboot,Teams,12,Yes
INC100116,Database Failure,Low,Network Team,Data Center B,10/3/24 20:00,10/5/24 11:00,39,Resolved,Reboot,SharePoint,12,Yes
INC100117,Server Crash,Low,Database Admin,Remote Site 1,7/25/24 22:00,7/27/24 3:00,29,Resolved,Security Mitigation,Teams,48,Yes
INC100118,Application Bug,Critical,DevOps,Head Office,10/20/24 14:00,10/22/24 21:00,55,Resolved,Configuration Fix,SharePoint,48,No
INC100119,Database Failure,Low,Database Admin,Data Center A,11/19/24 10:00,11/20/24 13:00,27,Resolved,Patch Applied,Teams,12,Yes
INC100120,Security Breach,Low,Network Team,Data Center B,2/29/24 7:00,3/3/24 6:00,71,Closed,Reboot,SharePoint,48,Yes
INC100121,Server Crash,Low,DevOps,Remote Site 1,8/23/24 7:00,8/25/24 20:00,61,Closed,Configuration Fix,SharePoint,48,Yes
INC100122,Network Outage,Medium,Security Team,Head Office,8/27/24 22:00,8/30/24 9:00,59,Resolved,Reboot,SharePoint,48,Yes
INC100123,Server Crash,High,Database Admin,Data Center B,5/25/24 2:00,5/25/24 17:00,15,Resolved,Security Mitigation,SharePoint,24,Yes
INC100124,Server Crash,Medium,Security Team,Data Center B,1/25/24 8:00,1/25/24 16:00,8,Resolved,Patch Applied,SharePoint,16,No
INC100125,Security Breach,High,DevOps,Data Center A,6/8/24 23:00,6/10/24 14:00,39,Resolved,Hardware Replacement,Teams,24,No
INC100126,Security Breach,Critical,DevOps,Data Center A,7/23/24 3:00,7/23/24 9:00,6,Resolved,Hardware Replacement,SharePoint,16,Yes
INC100127,Security Breach,High,IT Support,Data Center A,3/19/24 3:00,3/19/24 6:00,3,Resolved,Configuration Fix,Teams,12,No
INC100128,Database Failure,Low,Network Team,Remote Site 1,6/26/24 3:00,6/28/24 12:00,57,Resolved,Configuration Fix,Teams,16,No
INC100129,Server Crash,Critical,DevOps,Data Center A,6/9/24 10:00,6/11/24 7:00,45,Resolved,Hardware Replacement,SharePoint,48,Yes
INC100130,Security Breach,High,IT Support,Data Center B,4/22/24 13:00,4/24/24 18:00,53,Resolved,Hardware Replacement,SharePoint,12,No
INC100131,Security Breach,Critical,Database Admin,Data Center A,6/4/24 5:00,6/4/24 17:00,12,Resolved,Configuration Fix,SharePoint,16,Yes
INC100132,Security Breach,High,IT Support,Remote Site 1,10/22/24 5:00,10/24/24 23:00,66,Closed,Reboot,SharePoint,12,No
INC100133,Database Failure,Critical,DevOps,Data Center A,3/5/24 0:00,3/7/24 19:00,67,Closed,Configuration Fix,Teams,16,Yes
INC100134,Database Failure,Critical,DevOps,Data Center A,3/10/24 11:00,3/11/24 22:00,35,Resolved,Security Mitigation,Teams,12,Yes
INC100135,Server Crash,High,DevOps,Remote Site 1,2/11/24 10:00,2/11/24 14:00,4,Resolved,Security Mitigation,SharePoint,12,Yes
INC100136,Server Crash,Medium,Security Team,Remote Site 2,1/5/24 16:00,1/8/24 15:00,71,Closed,Hardware Replacement,Teams,16,No
INC100137,Network Outage,Medium,IT Support,Remote Site 1,11/19/24 6:00,11/19/24 22:00,16,Resolved,Patch Applied,SharePoint,24,Yes
INC100138,Application Bug,High,Database Admin,Head Office,5/21/24 19:00,5/24/24 9:00,62,Closed,Hardware Replacement,Teams,24,No
INC100139,Server Crash,Critical,Database Admin,Data Center B,5/10/24 22:00,5/11/24 23:00,25,Resolved,Security Mitigation,Teams,16,Yes
INC100140,Database Failure,Medium,IT Support,Head Office,9/20/24 17:00,9/22/24 23:00,54,Resolved,Configuration Fix,SharePoint,12,Yes
INC100141,Database Failure,High,IT Support,Head Office,9/4/24 19:00,9/6/24 10:00,39,Resolved,Security Mitigation,Teams,24,Yes
INC100142,Database Failure,Critical,Network Team,Remote Site 1,7/2/24 20:00,7/5/24 10:00,62,Closed,Configuration Fix,SharePoint,16,Yes
INC100143,Security Breach,Critical,DevOps,Head Office,10/23/24 19:00,10/24/24 20:00,25,Resolved,Patch Applied,Teams,12,Yes
INC100144,Database Failure,Critical,Network Team,Remote Site 1,1/15/24 21:00,1/17/24 14:00,41,Resolved,Hardware Replacement,Teams,12,Yes
INC100145,Application Bug,Critical,Network Team,Remote Site 1,11/25/24 7:00,11/25/24 12:00,5,Resolved,Patch Applied,Teams,12,Yes
INC100146,Database Failure,High,IT Support,Remote Site 1,2/4/24 0:00,2/6/24 20:00,68,Closed,Hardware Replacement,Teams,12,No
INC100147,Network Outage,Medium,DevOps,Data Center B,1/26/24 12:00,1/29/24 1:00,61,Closed,Configuration Fix,Teams,16,Yes
INC100148,Security Breach,Critical,IT Support,Head Office,10/17/24 22:00,10/20/24 19:00,69,Closed,Hardware Replacement,Teams,24,Yes
INC100149,Security Breach,Critical,Database Admin,Data Center A,7/29/24 18:00,7/30/24 3:00,9,Resolved,Patch Applied,SharePoint,12,Yes
INC100150,Security Breach,Medium,IT Support,Remote Site 1,2/3/24 14:00,2/4/24 3:00,13,Resolved,Hardware Replacement,SharePoint,12,No
INC100151,Server Crash,High,IT Support,Data Center A,4/20/24 17:00,4/21/24 1:00,8,Resolved,Configuration Fix,Teams,24,Yes
INC100152,Security Breach,High,DevOps,Data Center B,3/24/24 8:00,3/27/24 4:00,68,Closed,Hardware Replacement,Teams,16,No
INC100153,Database Failure,Medium,Network Team,Data Center B,1/27/24 22:00,1/29/24 23:00,49,Resolved,Security Mitigation,SharePoint,16,Yes
INC100154,Server Crash,Critical,Database Admin,Data Center B,3/20/24 6:00,3/22/24 18:00,60,Closed,Configuration Fix,Teams,24,Yes
INC100155,Application Bug,High,IT Support,Remote Site 1,11/3/24 14:00,11/5/24 3:00,37,Resolved,Security Mitigation,Teams,12,Yes
INC100156,Server Crash,Low,DevOps,Head Office,7/19/24 13:00,7/21/24 4:00,39,Resolved,Hardware Replacement,SharePoint,16,Yes
INC100157,Security Breach,Critical,Security Team,Data Center B,5/11/24 7:00,5/13/24 21:00,62,Closed,Reboot,SharePoint,48,Yes
INC100158,Server Crash,Critical,Database Admin,Head Office,7/15/24 4:00,7/16/24 18:00,38,Resolved,Configuration Fix,SharePoint,12,Yes
INC100159,Network Outage,Critical,Security Team,Data Center A,7/12/24 4:00,7/12/24 11:00,7,Resolved,Security Mitigation,SharePoint,12,Yes
INC100160,Application Bug,High,Network Team,Remote Site 2,9/30/24 17:00,10/2/24 15:00,46,Resolved,Patch Applied,Teams,12,No
INC100161,Server Crash,High,Network Team,Data Center A,11/4/24 8:00,11/4/24 14:00,6,Resolved,Configuration Fix,Teams,16,Yes
INC100162,Application Bug,Low,Database Admin,Head Office,9/6/24 23:00,9/7/24 16:00,17,Resolved,Reboot,SharePoint,16,No
INC100163,Security Breach,High,DevOps,Data Center B,3/9/24 12:00,3/10/24 5:00,17,Resolved,Security Mitigation,Teams,48,Yes
INC100164,Security Breach,High,Network Team,Head Office,11/7/24 23:00,11/10/24 13:00,62,Closed,Configuration Fix,Teams,16,No
INC100165,Security Breach,Low,DevOps,Data Center A,2/18/24 1:00,2/19/24 6:00,29,Resolved,Hardware Replacement,SharePoint,16,Yes
INC100166,Database Failure,High,IT Support,Remote Site 1,1/5/24 18:00,1/7/24 4:00,34,Resolved,Security Mitigation,SharePoint,48,Yes
INC100167,Network Outage,Critical,Security Team,Head Office,7/18/24 12:00,7/20/24 13:00,49,Resolved,Configuration Fix,Teams,16,No
INC100168,Network Outage,Medium,DevOps,Data Center A,7/30/24 11:00,8/2/24 11:00,72,Closed,Configuration Fix,Teams,12,Yes
INC100169,Database Failure,Medium,IT Support,Remote Site 1,11/6/24 9:00,11/8/24 0:00,39,Resolved,Hardware Replacement,Teams,24,Yes
INC100170,Network Outage,Medium,IT Support,Data Center A,4/13/24 21:00,4/16/24 13:00,64,Closed,Reboot,SharePoint,24,Yes
INC100171,Network Outage,Medium,Database Admin,Data Center B,5/12/24 15:00,5/15/24 2:00,59,Resolved,Configuration Fix,Teams,24,Yes
INC100172,Database Failure,Critical,Database Admin,Data Center B,10/29/24 5:00,10/31/24 11:00,54,Resolved,Reboot,SharePoint,24,Yes
INC100173,Application Bug,Critical,Security Team,Data Center A,8/23/24 14:00,8/25/24 14:00,48,Resolved,Patch Applied,Teams,12,Yes
INC100174,Application Bug,Critical,Network Team,Head Office,2/3/24 21:00,2/5/24 21:00,48,Resolved,Security Mitigation,SharePoint,12,Yes
INC100175,Security Breach,Low,DevOps,Head Office,3/5/24 18:00,3/6/24 10:00,16,Resolved,Hardware Replacement,Teams,12,Yes
INC100176,Network Outage,Medium,Database Admin,Data Center A,1/18/24 6:00,1/20/24 1:00,43,Resolved,Patch Applied,Teams,48,Yes
INC100177,Server Crash,Medium,IT Support,Remote Site 2,3/11/24 17:00,3/12/24 21:00,28,Resolved,Patch Applied,Teams,24,No
INC100178,Security Breach,Medium,Database Admin,Data Center A,4/4/24 15:00,4/5/24 10:00,19,Resolved,Patch Applied,SharePoint,24,Yes
INC100179,Database Failure,High,Network Team,Data Center A,8/13/24 15:00,8/13/24 19:00,4,Resolved,Patch Applied,Teams,24,No
INC100180,Network Outage,High,Network Team,Remote Site 2,4/20/24 12:00,4/20/24 15:00,3,Resolved,Patch Applied,Teams,16,No
INC100181,Security Breach,Low,Network Team,Remote Site 1,6/28/24 13:00,6/29/24 4:00,15,Resolved,Reboot,SharePoint,16,No
INC100182,Application Bug,Critical,Security Team,Remote Site 2,7/21/24 15:00,7/22/24 5:00,14,Resolved,Hardware Replacement,Teams,48,No
INC100183,Database Failure,Medium,Database Admin,Data Center A,9/5/24 5:00,9/8/24 0:00,67,Closed,Configuration Fix,SharePoint,12,No
INC100184,Application Bug,Low,IT Support,Remote Site 1,10/16/24 5:00,10/18/24 9:00,52,Resolved,Hardware Replacement,SharePoint,24,Yes
INC100185,Network Outage,Critical,DevOps,Data Center A,11/2/24 22:00,11/3/24 9:00,11,Resolved,Configuration Fix,SharePoint,48,Yes
INC100186,Database Failure,Medium,IT Support,Data Center B,4/3/24 20:00,4/6/24 19:00,71,Closed,Configuration Fix,Teams,12,No
INC100187,Application Bug,High,DevOps,Remote Site 2,7/25/24 15:00,7/27/24 23:00,56,Resolved,Reboot,SharePoint,24,Yes
INC100188,Network Outage,Medium,DevOps,Remote Site 1,10/30/24 3:00,10/31/24 9:00,30,Resolved,Hardware Replacement,Teams,16,Yes
INC100189,Security Breach,Critical,DevOps,Remote Site 1,9/6/24 0:00,9/6/24 13:00,13,Resolved,Configuration Fix,Teams,24,Yes
INC100190,Application Bug,High,Security Team,Head Office,11/21/24 11:00,11/22/24 7:00,20,Resolved,Hardware Replacement,Teams,12,No
INC100191,Network Outage,Low,IT Support,Data Center A,5/27/24 9:00,5/27/24 22:00,13,Resolved,Configuration Fix,Teams,16,Yes
INC100192,Server Crash,Low,Database Admin,Remote Site 2,7/10/24 17:00,7/12/24 12:00,43,Resolved,Reboot,SharePoint,48,No
INC100193,Application Bug,High,DevOps,Data Center A,11/26/24 13:00,11/28/24 2:00,37,Resolved,Security Mitigation,Teams,48,No
INC100194,Security Breach,High,IT Support,Remote Site 2,6/22/24 4:00,6/23/24 8:00,28,Resolved,Patch Applied,Teams,16,No
INC100195,Application Bug,Medium,IT Support,Head Office,10/15/24 13:00,10/18/24 13:00,72,Closed,Configuration Fix,Teams,16,Yes
