Request_id,User_ID ,Department,Role_Requested,Platform,Request_Date,Approval_date,Approval_Time_Hours,Status,Expiration date,Access_Still Active Flag,,,
1094,U094,Registrar's Office, Site Owner,Teams,10/28/24,10/29/24,24.00,Approved,2/21/25,No,,,
1095,U095,Computer Science Department,Editor,SharePoint,11/11/24,11/11/24,0.00,Approved,8/11/25,No,,,
1096,U096, Finance & Accounting,Editor,Teams,5/27/24,5/28/24,24.00,Approved,1/5/25,Yes,,,
1097,U097,Information Technology, Department Admin,Teams,5/15/24,5/18/24,72.00,Approved,5/8/25,No,,,
1098,U098,Library Services,Site Member,Teams,8/2/24,8/2/24,0.00,Approved,6/18/25,No,,,
1099,U099,Library Services, Department Admin,SharePoint,6/22/24,6/25/24,72.00,Approved,3/2/25,No,,,
1100,U100, Human Resources, Site Owner,Teams,8/16/24,NULL,,Rejected,7/9/25,No,,,
1101,U101,Academic Advising,Site Member,SharePoint,8/2/24,NULL,,Pending,2/19/25,No,,,
1102,U102, Human Resources,Site Member,Teams,2/29/24,3/3/24,72.00,Approved,6/4/24,Yes,,,
1103,U103,Information Technology,Site Member,SharePoint,3/30/24,4/2/24,72.00,Approved,2/11/25,No,,,
1104,U104, Finance & Accounting,Viewer,Teams,3/5/24,3/6/24,24.00,Approved,10/14/24,No,,,
1105,U105,Student Affairs, Site Owner,SharePoint,4/20/24,4/23/24,72.00,Approved,11/16/24,Yes,,,
1106,U106,Academic Advising,Viewer,Teams,12/22/24,12/25/24,72.00,Approved,6/26/25,No,,,
1107,U107, Business Department, Department Admin,SharePoint,9/15/24,NULL,,Rejected,5/20/25,Yes,,,
1108,U108,Computer Science Department,Site Member,Teams,2/6/24,2/7/24,24.00,Approved,10/11/24,No,,,
1109,U109,Admissions,Editor,SharePoint,5/4/24,5/4/24,0.00,Approved,2/17/25,No,,,
1110,U110,Student Affairs, Department Admin,SharePoint,1/18/24,1/21/24,72.00,Approved,5/27/24,No,,,
1111,U111,Library Services, Department Admin,SharePoint,10/30/24,11/1/24,48.00,Approved,10/21/25,No,,,
1112,U112,Registrar's Office, Site Owner,Teams,3/10/24,3/11/24,24.00,Approved,12/11/24,No,,,
1113,U113,Academic Advising, Department Admin,Teams,7/18/24,7/18/24,0.00,Approved,12/1/24,No,,,
1114,U114,Admissions, Department Admin,SharePoint,9/24/24,NULL,,Pending,12/29/24,Yes,,,
1115,U115,Information Technology, Site Owner,SharePoint,2/2/24,2/2/24,0.00,Approved,8/15/24,No,,,
1116,U116,Library Services,Viewer,SharePoint,2/12/24,2/15/24,72.00,Approved,11/13/24,No,,,
1117,U117,Student Affairs,Viewer,SharePoint,1/24/24,1/24/24,0.00,Approved,5/11/24,No,,,
1118,U118,Computer Science Department,Viewer,SharePoint,1/11/24,1/14/24,72.00,Approved,12/27/24,No,,,
1119,U119,Computer Science Department,Viewer,SharePoint,3/15/24,3/16/24,24.00,Approved,6/22/24,No,,,
1120,U120, Finance & Accounting,Editor,SharePoint,9/15/24,9/15/24,0.00,Approved,6/12/25,Yes,,,
1121,U121,Computer Science Department, Department Admin,Teams,3/1/24,3/2/24,24.00,Approved,8/4/24,No,,,
1122,U122,Information Technology, Department Admin,Teams,1/30/24,NULL,,Pending,9/6/24,No,,,
1123,U123,Academic Advising,Site Member,Teams,11/3/24,11/3/24,0.00,Approved,10/21/25,No,,,
1124,U124, Finance & Accounting,Editor,SharePoint,4/19/24,4/19/24,0.00,Approved,1/21/25,Yes,,,
1125,U125,Information Technology, Site Owner,Teams,4/7/24,NULL,,Pending,12/31/24,Yes,,,
1126,U126, Finance & Accounting,Editor,Teams,12/22/24,12/23/24,24.00,Approved,12/3/25,Yes,,,
1127,U127,Registrar's Office,Editor,Teams,3/29/24,NULL,,Pending,9/16/24,No,,,
1128,U128,Computer Science Department,Viewer,Teams,2/6/24,2/7/24,24.00,Approved,9/22/24,No,,,
1129,U129,Information Technology,Site Member,Teams,12/6/24,12/9/24,72.00,Approved,9/29/25,No,,,
1130,U130, Business Department,Viewer,Teams,10/22/24,10/23/24,24.00,Approved,9/17/25,No,,,
1131,U131,Registrar's Office, Department Admin,Teams,10/26/24,10/28/24,48.00,Approved,9/20/25,Yes,,,
1132,U132, Finance & Accounting, Department Admin,SharePoint,5/9/24,5/12/24,72.00,Approved,1/27/25,No,,,
1133,U133,Computer Science Department, Site Owner,Teams,5/24/24,5/25/24,24.00,Approved,10/17/24,No,,,
1134,U134,Library Services, Site Owner,Teams,3/2/24,NULL,,Rejected,2/22/25,No,,,
1135,U135, Human Resources,Editor,SharePoint,6/28/24,NULL,,Rejected,12/23/24,No,,,
1136,U136,Admissions,Editor,SharePoint,4/15/24,4/17/24,48.00,Approved,10/30/24,Yes,,,
1137,U137,Academic Advising, Site Owner,Teams,1/20/24,1/22/24,48.00,Approved,12/22/24,No,,,
1138,U138,Student Affairs,Site Member,SharePoint,2/29/24,3/2/24,48.00,Approved,12/7/24,No,,,
1139,U139, Finance & Accounting,Viewer,Teams,12/21/24,12/22/24,24.00,Approved,3/21/25,No,,,
1140,U140,Information Technology,Site Member,Teams,1/12/24,NULL,,Rejected,4/24/24,No,,,
1141,U141,Academic Advising,Editor,SharePoint,4/23/24,4/24/24,24.00,Approved,2/16/25,No,,,
1142,U142,Library Services,Editor,SharePoint,7/14/24,NULL,,Rejected,1/7/25,No,,,
1143,U143,Academic Advising,Viewer,Teams,4/25/24,NULL,,Rejected,1/19/25,No,,,
1144,U144,Academic Advising,Site Member,SharePoint,4/12/24,NULL,,Pending,12/11/24,Yes,,,
1145,U145,Academic Advising,Viewer,Teams,11/19/24,NULL,,Rejected,2/22/25,No,,,
1146,U146,Library Services,Site Member,SharePoint,9/25/24,9/26/24,24.00,Approved,5/3/25,No,,,
1147,U147,Registrar's Office, Site Owner,SharePoint,9/23/24,9/25/24,48.00,Approved,3/12/25,No,,,
1148,U148,Student Affairs, Department Admin,Teams,10/16/24,NULL,,Pending,5/4/25,No,,,
1149,U149, Human Resources, Site Owner,SharePoint,12/31/24,NULL,,Pending,5/5/25,No,,,
1150,U150,Computer Science Department, Department Admin,Teams,10/27/24,10/29/24,48.00,Approved,6/30/25,No,,,
1151,U151,Student Affairs,Site Member,Teams,5/31/24,NULL,,Rejected,1/28/25,No,,,
1152,U152,Registrar's Office,Site Member,Teams,10/28/24,10/29/24,24.00,Approved,4/16/25,Yes,,,
1153,U153, Business Department,Site Member,Teams,4/8/24,4/8/24,0.00,Approved,10/1/24,No,,,
1154,U154, Business Department,Viewer,Teams,7/13/24,7/13/24,0.00,Approved,4/22/25,No,,,
1155,U155, Business Department,Site Member,SharePoint,11/7/24,11/8/24,24.00,Approved,10/31/25,No,,,
1156,U156,Library Services,Site Member,SharePoint,3/30/24,4/1/24,48.00,Approved,9/26/24,No,,,
1157,U157,Information Technology,Site Member,SharePoint,3/28/24,3/29/24,24.00,Approved,3/20/25,No,,,
1158,U158, Business Department,Site Member,SharePoint,12/24/24,12/26/24,48.00,Approved,3/28/25,No,,,
1159,U159,Admissions,Site Member,Teams,11/8/24,NULL,,Pending,5/15/25,Yes,,,
1160,U160,Admissions, Department Admin,SharePoint,3/1/24,3/2/24,24.00,Approved,9/22/24,No,,,
1161,U161, Human Resources,Editor,SharePoint,4/17/24,4/18/24,24.00,Approved,3/4/25,No,,,
1162,U162, Finance & Accounting,Editor,SharePoint,7/15/24,NULL,,Pending,1/14/25,No,,,
1163,U163,Registrar's Office,Site Member,SharePoint,3/18/24,NULL,,Pending,10/23/24,No,,,
1164,U164, Finance & Accounting,Editor,SharePoint,8/27/24,8/30/24,72.00,Approved,12/23/24,No,,,
1165,U165,Library Services,Viewer,Teams,11/19/24,11/22/24,72.00,Approved,8/26/25,No,,,
1166,U166,Academic Advising, Site Owner,Teams,3/8/24,NULL,,Pending,2/3/25,No,,,
1167,U167,Registrar's Office, Site Owner,SharePoint,3/8/24,3/10/24,48.00,Approved,2/8/25,No,,,
1168,U168, Finance & Accounting, Department Admin,SharePoint,5/28/24,NULL,,Rejected,1/29/25,Yes,,,
1169,U169, Finance & Accounting,Site Member,SharePoint,1/27/24,1/27/24,0.00,Approved,8/17/24,No,,,
1170,U170,Library Services,Editor,SharePoint,2/28/24,NULL,,Pending,1/15/25,Yes,,,
1171,U171,Admissions,Site Member,Teams,9/25/24,9/26/24,24.00,Approved,7/21/25,Yes,,,
1172,U172,Information Technology, Department Admin,Teams,9/11/24,9/12/24,24.00,Approved,3/16/25,No,,,
1173,U173,Information Technology, Department Admin,SharePoint,9/2/24,NULL,,Pending,5/16/25,No,,,
1174,U174,Computer Science Department,Editor,Teams,2/2/24,2/3/24,24.00,Approved,2/1/25,No,,,
1175,U175,Registrar's Office,Site Member,Teams,6/1/24,NULL,,Rejected,12/22/24,No,,,
1176,U176, Business Department, Department Admin,Teams,5/22/24,5/25/24,72.00,Approved,9/1/24,No,,,
1177,U177,Computer Science Department,Viewer,SharePoint,3/3/24,3/6/24,72.00,Approved,9/25/24,No,,,
1178,U178, Human Resources,Editor,Teams,8/17/24,8/19/24,48.00,Approved,2/4/25,No,,,
1179,U179,Registrar's Office,Editor,SharePoint,9/2/24,NULL,,Pending,6/1/25,Yes,,,
1180,U180,Academic Advising,Site Member,SharePoint,2/10/24,2/11/24,24.00,Approved,10/9/24,No,,,
1181,U181,Academic Advising,Viewer,SharePoint,7/22/24,NULL,,Rejected,11/17/24,No,,,
1182,U182,Academic Advising,Site Member,SharePoint,7/10/24,7/10/24,0.00,Approved,2/23/25,Yes,,,
1183,U183,Library Services, Site Owner,SharePoint,9/9/24,9/10/24,24.00,Approved,12/19/24,No,,,
1184,U184, Human Resources, Site Owner,SharePoint,4/4/24,4/4/24,0.00,Approved,2/11/25,No,,,
1185,U185,Academic Advising, Site Owner,SharePoint,9/28/24,9/29/24,24.00,Approved,6/12/25,No,,,
1186,U186,Admissions, Department Admin,Teams,7/27/24,7/30/24,72.00,Approved,5/30/25,No,,,
1187,U187, Business Department, Site Owner,SharePoint,4/12/24,4/15/24,72.00,Approved,8/31/24,Yes,,,
1188,U188,Admissions,Viewer,Teams,1/17/24,NULL,,Rejected,10/20/24,No,,,
1189,U189, Human Resources, Department Admin,SharePoint,11/24/24,NULL,,Rejected,5/25/25,No,,,
1190,U190, Finance & Accounting, Department Admin,Teams,2/14/24,NULL,,Rejected,1/15/25,Yes,,,
1191,U191,Academic Advising, Department Admin,Teams,2/14/24,2/14/24,0.00,Approved,12/10/24,No,,,
1192,U192,Computer Science Department, Site Owner,Teams,3/16/24,3/19/24,72.00,Approved,6/21/24,No,,,
1193,U193, Business Department,Editor,Teams,5/1/24,5/1/24,0.00,Approved,4/6/25,No,,,
1194,U194,Library Services,Viewer,SharePoint,11/5/24,11/7/24,48.00,Approved,5/11/25,No,,,
1195,U195,Academic Advising, Site Owner,SharePoint,5/2/24,5/2/24,0.00,Approved,1/8/25,No,,,
1196,U196,Student Affairs,Viewer,SharePoint,11/8/24,NULL,,Rejected,4/15/25,Yes,,,
1197,U197,Student Affairs, Site Owner,SharePoint,2/14/24,NULL,,Pending,11/19/24,Yes,,,
1198,U198, Finance & Accounting,Editor,Teams,5/14/24,NULL,,Pending,8/26/24,Yes,,,
1199,U199,Admissions, Site Owner,Teams,7/8/24,7/11/24,72.00,Approved,6/8/25,No,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
